lsmod > 11_2.txt 2>&1


Module                  Size  Used by
ucsi_acpi              12288  0
hid_multitouch         36864  0
typec_ucsi             65536  1 ucsi_acpi
hid_generic            12288  0
8250_dw                20480  0
typec                 118784  1 typec_ucsi
nvme                   65536  5
i2c_hid_acpi           12288  0
intel_lpss_pci         28672  0
i2c_hid                40960  1 i2c_hid_acpi
nvme_core             241664  6 nvme
intel_ish_ipc          36864  0
intel_lpss             12288  1 intel_lpss_pci
nvme_keyring           20480  1 nvme_core
serio_raw              20480  0
video                  77824  3 asus_wmi,asus_nb_wmi,xe
nvme_auth              28672  1 nvme_core
idma64                 20480  0
intel_ishtp            73728  1 intel_ish_ipc
hid                   270336  9 i2c_hid,usbhid,hid_apple,hid_multitouch,hid_sensor_hub,snd_soc_sdca,hid_generic,hid_logitech_dj,hid_logitech_hidpp
thunderbolt           544768  1 typec
wmi                    28672  4 video,asus_wmi,wmi_bmof,mfd_aaeon
pinctrl_intel_platform    12288  0
