ps -eo pid,stat,nlwp,comm --sort=-nlwp > 04.txt


    PID STAT NLWP COMMAND
   3017 Ss      1 mpris-proxy
   3071 Ss      1 fusermount3
   3164 Ss      1 ssh-agent
   3171 I       1 kworker/0:4-events
   3269 I<      1 kworker/R-
   3280 I<      1 kworker/R-
   3281 I<      1 kworker/R-
   3282 I<      1 kworker/R-
   3285 I<      1 kworker/R-
   3286 I<      1 kworker/R-
   3287 I<      1 kworker/R-
   3308 S       1 dbus-daemon
   3403 Z       1 sh
   3407 Z       1 snap
   3412 Z       1 ubuntu-advantag
   3421 Z       1 ubuntu-report
   3500 S       1 bwrap
   3515 S       1 bwrap
   3867 Ss      1 snapd-desktop-i
   4075 S       1 cat
   4076 S       1 cat
   4086 S       1 chrome
   4087 S       1 chrome
   4089 S       1 chrome
   4135 I<      1 kworker/R-
   4139 I<      1 kworker/R-
   4140 I<      1 kworker/R-
   4141 I<      1 kworker/R-
   4174 I<      1 kworker/R-
   4178 I<      1 kworker/R-
   4188 I<      1 kworker/R-
   4190 I<      1 kworker/R-
   4191 I<      1 kworker/R-
   4194 I<      1 kworker/R-
   4195 I<      1 kworker/R-
   4196 I<      1 kworker/R-
   4209 I<      1 kworker/R-
   5442 I<      1 kworker/R-
   5649 I<      1 kworker/u36:9-ttm
   5706 I<      1 kworker/u36:11-ttm
   6028 I       1 kworker/4:0-mm_percpu_wq
   6059 I<      1 kworker/R-
   6060 I<      1 kworker/R-
   6061 I<      1 kworker/R-
   6094 S       1 python3
   6937 I       1 kworker/2:1-events
   7018 I<      1 kworker/R-
   7019 I<      1 kworker/R-
   7020 I<      1 kworker/R-
   7103 Ss      1 bash
   7179 I       1 kworker/6:0-mm_percpu_wq
   7180 I       1 kworker/7:1-events
   7320 I       1 kworker/u34:1-events_unbound
   7473 I<      1 kworker/u36:2-ttm
   7474 I<      1 kworker/u36:8-ttm
   7475 I<      1 kworker/u36:12-ttm
   7493 I       1 kworker/2:0
   7570 I<      1 kworker/u37:3-ttm
   7583 I<      1 kworker/u37:17-ttm
   7590 I       1 kworker/u32:0
   7604 R+      1 ps
