top -b -n 1 > 03.txt 2>&1


top - 00:42:47 up 15 min,  1 user,  load average: 0.18, 0.90, 1.15
Tasks: 420 total,   1 running, 415 sleeping,   0 stopped,   4 zombie
%Cpu(s):  5.6 us,  3.3 sy,  0.0 ni, 91.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  31054.8 total,  21310.7 free,   6937.4 used,   3604.9 buff/cache     
MiB Swap:   7630.0 total,   7630.0 free,      0.0 used.  24117.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1564 polkitd   20   0  389128  11860   8100 S   0.0   0.0   0:00.52 polkitd
   1574 root      20   0 1769840  40352  24836 S   0.0   0.1   0:00.97 snapd
   1576 root      20   0  312452   8268   7168 S   0.0   0.0   0:00.09 account+
   1577 root      20   0    9864   3152   2904 S   0.0   0.0   0:00.00 cron
   1579 root      20   0  310556   7160   6544 S   0.0   0.0   0:00.01 switche+
   1585 root      20   0   19008   9428   8040 S   0.0   0.0   0:00.34 systemd+
   1587 root      20   0  389348   9436   8524 S   0.0   0.0   0:00.26 thermald
   1588 root      20   0  471188  15568  11772 S   0.0   0.0   0:00.13 udisksd
   1639 avahi     20   0    6592   1616   1304 S   0.0   0.0   0:00.00 avahi-d+
   1654 syslog    20   0  220668   5816   4180 S   0.0   0.0   0:00.14 rsyslogd
   1655 root      20   0       0      0      0 I   0.0   0.0   0:00.59 kworker+
   1670 root      20   0  339300  20652  17248 S   0.0   0.1   0:00.37 Network+
   1674 root      20   0   19136  12620  10664 S   0.0   0.0   0:00.04 wpa_sup+
   1721 root      20   0  391020  12764  10664 S   0.0   0.0   0:00.05 ModemMa+
   1724 root      20   0  311992   7980   7212 S   0.0   0.0   0:00.04 boltd
   1783 root      20   0  322244  11748   8816 S   0.0   0.0   0:00.42 upowerd
   1878 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   1939 root      20   0    3040   1948   1836 S   0.0   0.0   0:00.00 Amnezia+
   1941 root      20   0   31892  11700   9804 S   0.0   0.0   0:00.00 cupsd
   1946 root      20   0  123516  29884  16348 S   0.0   0.1   0:00.04 unatten+
   1952 root      20   0  167044  21888  19352 S   0.0   0.1   0:00.02 Amnezia+
   1962 root      20   0  387684  10192   8940 S   0.0   0.0   0:00.06 gdm3
   2027 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   2300 rtkit     21   1   21900   3404   3160 S   0.0   0.0   0:00.04 rtkit-d+
   2680 colord    20   0  319424  15304  10492 S   0.0   0.0   0:00.09 colord
   2900 root      20   0  175544  10400   8840 S   0.0   0.0   0:00.01 gdm-ses+
   2906 root       0 -20       0      0      0 I   0.0   0.0   0:00.23 kworker+
   2908 root       0 -20       0      0      0 I   0.0   0.0   0:00.36 kworker+
   2909 root       0 -20       0      0      0 I   0.0   0.0   0:00.22 kworker+
   2910 root       0 -20       0      0      0 I   0.0   0.0   0:00.16 kworker+
   2911 root       0 -20       0      0      0 I   0.0   0.0   0:00.32 kworker+
   2912 root       0 -20       0      0      0 I   0.0   0.0   0:00.42 kworker+
   2913 root       0 -20       0      0      0 I   0.0   0.0   0:00.32 kworker+
   2914 root       0 -20       0      0      0 I   0.0   0.0   0:00.34 kworker+
   2915 root       0 -20       0      0      0 I   0.0   0.0   0:00.32 kworker+
   2916 root       0 -20       0      0      0 I   0.0   0.0   0:00.36 kworker+
   2917 root       0 -20       0      0      0 I   0.0   0.0   0:00.22 kworker+
   2918 root       0 -20       0      0      0 I   0.0   0.0   0:00.28 kworker+
   2919 root       0 -20       0      0      0 I   0.0   0.0   0:00.28 kworker+
   2920 root       0 -20       0      0      0 I   0.0   0.0   0:00.16 kworker+
   2923 root       0 -20       0      0      0 I   0.0   0.0   0:00.36 kworker+
   2924 root       0 -20       0      0      0 I   0.0   0.0   0:00.36 kworker+
   2925 root       0 -20       0      0      0 I   0.0   0.0   0:00.71 kworker+
   2960 cups-br+  20   0  208148  21024  17512 S   0.0   0.1   0:00.04 cups-br+
   2961 root      20   0  312152   8048   7024 S   0.0   0.0   0:00.07 power-p+
   2976 whoami    20   0   23988  14592  10564 S   0.0   0.0   0:00.99 systemd
   2978 whoami    20   0   23448   3876   1860 S   0.0   0.0   0:00.00 (sd-pam)
   2999 whoami    20   0   10344   6792   4436 S   0.0   0.0   0:01.15 dbus-da+
   3000 whoami     9 -11  111948  13840   7692 S   0.0   0.0   0:00.80 pipewire
   3001 whoami    20   0   87588   5400   4784 S   0.0   0.0   0:00.01 pipewire
   3005 whoami    20   0  185812  10628   9512 S   0.0   0.0   0:00.09 gnome-k+
